,STATION,Station Latitude,Station Longitude,SEGMENT,SECTOR,BOROUGH,AVGWKDRIDER,AVGWKND,ANN_RID
38,Norwood Av,40.68141,-73.880039,Jamaica,Other Brooklyn,Brooklyn,1508,1373,458742
39,Shepherd Av,40.67413,-73.88075,Fulton St,Other Brooklyn,Brooklyn,1831,1731,559941
40,Elmhurst Av,40.742454,-73.882017,Queens Blvd,Queens,Queens,8563,9116,2676734
41,New Lots Av,40.666235,-73.884079,New Lots,Other Brooklyn,Brooklyn,3495,3251,1066391
42,New Lots Av,40.666235,-73.884079,Canarsie,Other Brooklyn,Brooklyn,2307,2020,697822
43,Cleveland St,40.679947,-73.884639,Jamaica,Other Brooklyn,Brooklyn,1422,1432,440455
44,Whitlock Av,40.826525,-73.886283,Pelham,Bronx,Bronx,1250,1248,385838
45,Bedford Park Blvd,40.873244,-73.887138,Concourse,Bronx,Bronx,4139,2068,1166942
46,Van Siclen Av,40.665449,-73.889395,New Lots,Other Brooklyn,Brooklyn,1616,1485,491980
47,Van Siclen Av,40.665449,-73.889395,Fulton St,Other Brooklyn,Brooklyn,1701,1711,525801
48,Van Siclen Av,40.665449,-73.889395,Jamaica,Other Brooklyn,Brooklyn,1677,1623,515895
49,Bedford Park Blvd-Lehman College,40.873412,-73.890064,Jerome Av,Bronx,Bronx,3634,4818,1182701
50,Van Siclen Av,40.67271,-73.890358,New Lots,Other Brooklyn,Brooklyn,1616,1485,491980
51,Van Siclen Av,40.67271,-73.890358,Fulton St,Other Brooklyn,Brooklyn,1701,1711,525801
52,Van Siclen Av,40.67271,-73.890358,Jamaica,Other Brooklyn,Brooklyn,1677,1623,515895
53,Hunts Point Av,40.820948,-73.890549,Pelham,Bronx,Bronx,6976,6753,2140557
54,Van Siclen Av,40.678024,-73.891688,New Lots,Other Brooklyn,Brooklyn,1616,1485,491980
55,Van Siclen Av,40.678024,-73.891688,Fulton St,Other Brooklyn,Brooklyn,1701,1711,525801
56,Van Siclen Av,40.678024,-73.891688,Jamaica,Other Brooklyn,Brooklyn,1677,1623,515895
57,Freeman St,40.829993,-73.891865,White Plains Rd,Bronx,Bronx,2690,2528,822237
58,Simpson St,40.824073,-73.893064,White Plains Rd,Bronx,Bronx,4374,4109,1336897
59,Kingsbridge Rd,40.866978,-73.893509,Jerome Av,Bronx,Bronx,6045,7759,1958074
60,Kingsbridge Rd,40.866978,-73.893509,Concourse,Bronx,Bronx,4060,1939,1140981
